2006,1,135,45,7,11553427,18246,310860,222,20,177,80615,4320894000
2006,1,175,45,5,11553427,18246,310860,222,20,84,6416,1251275000
2006,3,150,45,5,11553427,18246,310860,222,20,8,11,84386000
2006,3,160,110,5,11553427,18246,310860,222,20,921,385214,6606837000
2007,2,120,110,6,11566325,18648,311000,183,19,26,219,506173000
2007,3,205,110,6,11566325,18648,311000,183,19,6,99,69769000
2007,1,110,80,4,11566325,18648,311000,183,19,19,1025,33142000
2008,3,160,195,6,11566325,18648,311000,178,12,1470,428210,13337662000
2009,1,75,90,4,11855975,19137,356000,195,449,33,12694,232073000
2009,2,120,90,5,11855975,19137,356000,195,449,6,8,39531000
2009,2,140,90,1,11855975,19137,356000,195,449,46,899,873447000
2009,1,110,140,4,11855975,19137,356000,195,449,1030,185004,10952198000
2009,1,195,230,2,11855975,19137,356000,195,449,719,54373,27296722000
2009,3,150,185,5,11855975,19137,356000,195,449,59,22800,704997000
