1796,Butchoy,IV-A,Rizal,2016,TY,4,220,925,0,2971499,2513,273489,7,56,100,95,231,2150,76666,410759,15038,4252,1,0,0
882,Mina,NCR,Metro Manila,2011,TY,9,195,975.3,0,12053536,19456,371173,4,47,97,95,184,465,350258,2064904,48829,28680,7,0,0
1218,Crising,XII,Sarangani,2013,TD,3,45,1004,1,525643,144,158472,55,68,98,83,49,1019,27391,22550,50419,1325,1,0,0
467,Julian,CAR,Apayao,2008,TS,3,75,999,1,106551,24,209648,25,67,108,89,55,599,8683,10213,2455,214,2,0,2525000
67,Caloy,IV-B,Romblon,2006,TY,7,160,981,2,277518,181,108946,46,88,104,83,64,686,7619,23653,22007,3451,8,10417,229334000
602,Kiko,CAR,Benguet,2009,TY,7,175,967.6,1,706196,250,219000,25,51,99,90,51,612,11748,168316,1376,688,25,62,39525000
663,Ondoy,CAR,Benguet,2009,TS,4,110,989.5,0,706196,250,219000,25,51,99,90,51,612,11748,168316,1376,688,5,0,16130000
200,Reming,V,Catanduanes,2006,TY,6,195,964,4,230188,154,125184,41,87,106,80,123,1115,10422,22190,10628,1600,387,40166,1462144789
611,Maring,III,Zambales,2009,TD,3,55,999.7,1,743678,195,221000,17,61,103,92,198,1773,16768,132633,14198,2310,4,1,40980430
765,Bebeng,V,Catanduanes,2011,TS,6,85,997,2,249165,167,158596,32,76,103,84,109,1145,10087,23836,10791,1696,2,0,16187889
1360,Yolanda (Haiyan),VI,Antique,2013,TY,3,235,910,4,567343,208,179929,37,65,99,85,59,1776,28980,43473,34120,3110,175,46964,1580873095
720,Basyang,III,Aurora,2010,TY,4,120,995.9,3,201233,64,233003,22,68,106,92,198,1901,11543,24335,7425,590,8,0,19300000
42,Quedan,VI,Aklan,2005,TD,3,55,1002.8,1,482189,274,123270,41,72,103,82,89,1594,4898,34919,45086,12109,1,338,100288000
1234,Labuyo,I,Pangasinan,2013,TY,3,175,914,2,2884669,529,194908,21,62,102,93,81,1217,108372,396967,49305,9649,3,26,0
792,Dodong,IV-B,Romblon,2011,TS,2,65,1004.3,0,285679,186,165314,41,74,102,86,66,706,8497,25688,21211,3338,1,0,0
197,Reming,V,Albay,2006,TY,6,195,964,4,1172927,456,125184,36,77,104,80,123,1115,26955,126543,56990,18368,2808,160812,1590441528
377,Cosme,CAR,Benguet,2008,TS,7,105,993.7,3,690145,244,209648,25,52,98,89,55,599,13748,183430,1470,1147,8,74,3180000
1132,Ofel,XII,Sarangani,2012,TD,4,85,991,2,516575,142,163000,53,69,101,82,105,1017,27011,22043,50336,1326,1,0,0
542,Feria,IV-A,Quezon,2009,TS,4,75,993.6,1,1951695,221,249000,30,68,104,94,236,2022,110331,267050,84976,16383,7,2160,18000000
1,Auring,VIII,Leyte,2005,TS,4,105,1004.9,3,1685476,258,117645,39,76,105,75,75,805,88552,135829,110200,12955,48,1283,8392000
94,Florita,III,Pampanga,2006,TY,5,120,982.8,0,2176175,1054,197640,3,61,103,90,201,1866,35472,368864,12695,10905,3,0,0
512,Dante,V,Camarines Norte,2009,TY,5,140,991.8,1,533026,234,152000,42,74,105,81,114,1103,11233,53956,37816,9273,2,88,80491511
1068,Gener,CAR,Benguet,2012,TY,5,130,972,3,749456,265,257000,23,50,98,91,55,704,13410,176971,1494,1204,5,57,111840783.5
1111,Ofel,V,Masbate,2012,TD,4,85,991,2,857285,207,162000,51,86,101,86,110,1134,27372,42915,82332,7269,1,438,12660077.5
1106,Ofel,IV-B,Oriental Mindoro,2012,TD,4,85,991,2,808483,191,179000,29,67,101,86,67,795,24578,86762,42817,5885,7,1770,65254270
1144,Pablo,VII,Siquijor,2012,TY,8,185,943,3,93002,276,209000,33,60,100,87,105,1764,7275,9736,2799,299,10,3676,9505220
916,Pedring,NCR,Metro Manila,2011,TY,5,140,976.2,0,12053536,19456,371173,4,47,97,95,184,465,350258,2064904,48829,28680,2,0,0
1513,Mario,NCR,Metro Manila,2014,TY,5,105,982,2,12666191,20445,370275,4,46,101,95,162,470,344593,2139922,41695,20797,1,0,0
122,Henry,II,Isabela,2006,TS,6,95,995.7,1,1384623,106,142770,30,63,105,85,91,939,59679,198816,31811,2416,5,0,17335418.5
18,Labuyo,I,Ilocos Sur,2005,TY,5,95,998.9,2,621761,240,135955,22,63,101,90,124,915,21456,97129,5793,1065,1,0,3619000
923,Pedring,II,Cagayan,2011,TY,5,140,976.2,3,1139302,121,190217,22,58,102,93,92,1158,50869,141840,29329,4062,5,0,173407148.8
528,Emong,CAR,Ifugao,2009,TY,4,150,995.1,3,187594,72,219000,25,65,107,90,51,612,16322,17559,4125,133,36,289,26212750
846,Juaning,IV-B,Marinduque,2011,STS,4,95,994.4,0,229151,241,165314,33,72,102,86,66,706,11800,29280,7928,728,3,0,0
1001,Sendong,IX,Zamboanga del Norte,2011,TS,4,75,995.8,2,968446,133,155763,59,68,103,84,66,699,51300,41118,91380,3881,11,22,9478600
1491,Luis,II,Nueva Vizcaya,2014,TY,4,130,972,3,445924,93,189678,18,58,97,95,58,1128,26556,56262,7874,442,2,16,0
1463,Glenda,V,Masbate,2014,TY,5,150,964.2,3,880533,213,158206,53,84,98,86,54,1164,28482,44815,81677,7411,3,1562,331217333.3
1862,Lawin,CAR,Benguet,2016,STY,4,225,970.1,3,806155,285,245538,23,52,97,91,52,662,12521,170967,1443,984,8,2033,866022166.7
1394,Agaton,X,Misamis Occidental,2014,TD,4,55,1000,1,595066,297,180380,44,60,98,92,65,1085,43568,41324,30118,2435,3,5,0
