554,Feria,VI,Iloilo,2009,TS,4,75,993.6,1,2189591,431,159000,27,61,103,83,86,1732,169734,210941,65147,4141,0,0,26750000
166,Milenyo,CAR,Kalinga,2006,TY,5,130,963.9,0,181116,55,192126,26,74,105,88,57,564,13749,16054,3622,330,1,0,0
1375,Yolanda (Haiyan),IX,Zamboanga del Norte,2013,TY,3,235,910,4,989686,136,152882,61,68,99,88,40,651,52782,43023,91904,3890,2,0,0
1069,Gener,CAR,Ifugao,2012,TY,5,130,972,3,195684,75,257000,23,63,101,91,55,704,16227,16429,4191,156,2,5,15750000
1778,Nona,V,Camarines Sur,2015,TY,7,150,963,3,1952544,354,158941,43,70,96,86,51,1174,54633,170211,104967,16717,1,75,312991000
1848,Lawin,III,Aurora,2016,STY,4,225,970.1,3,217057,69,247540,27,71,103,92,191,1917,11408,22622,7429,588,3,152,3000000
1233,Labuyo,I,La Union,2013,TY,3,175,914,2,768439,513,194908,24,57,102,93,81,1217,33067,116649,3431,577,0,4,14112070
874,Kabayan,III,Zambales,2011,TY,9,175,970,0,768806,202,245658,16,60,101,92,199,1948,16613,126635,14048,2214,0,76,0
1837,Karen,CAR,Ifugao,2016,TY,5,150,976.2,2,205232,78,245538,23,65,103,91,52,662,16224,17010,4195,146,0,0,2500000
720,Basyang,III,Aurora,2010,TY,4,120,995.9,3,201233,64,233003,22,68,106,92,198,1901,11543,24335,7425,590,8,0,19300000
1539,Mario,III,Tarlac,2014,TY,5,105,982,2,1346944,442,244331,17,57,98,92,167,1923,30101,212008,18466,3503,0,0,280023000
1049,Gener,VI,Aklan,2012,TY,5,130,972,3,551035,313,202000,25,60,100,84,89,1790,6226,42697,45841,11768,0,16,10848359.6
1209,Crising,VIII,Leyte,2013,TD,3,45,1004,1,1893701,290,162988,38,67,99,74,42,865,96508,160646,104653,11348,0,0,0
863,Juaning,CAR,Mt. Province,2011,STS,4,95,994.4,1,154268,65,243652,24,65,103,90,57,651,7330,22227,1141,124,0,0,591155
1122,Ofel,X,Misamis Oriental,2012,TD,4,85,991,2,1473579,416,190000,23,64,100,92,108,1036,104695,132967,37315,3080,0,0,0
1273,Maring,IV-B,Oriental Mindoro,2013,TS,4,105,982,1,820172,194,159497,33,66,100,87,64,782,24790,88259,42790,5807,0,3,0
911,Pedring,NCR,Metro Manila,2011,TY,5,140,976.2,0,12053536,19456,371173,4,47,97,95,184,465,350258,2064904,48829,28680,0,0,0
816,Falcon,III,Tarlac,2011,TS,5,195,979.9,1,1291279,424,245658,17,59,102,92,199,1948,30304,203879,19208,4023,0,11,135792760
1788,Onyok,XIII,Agusan del Norte,2015,TD,3,55,1000,1,691566,202,170288,38,67,94,91,17,742,39465,40192,42638,3309,0,0,0
967,Quiel,II,Quirino,2011,TY,5,160,974.4,1,179162,77,190217,19,59,103,93,92,1158,12965,19425,3670,323,0,12226,63000000
402,Frank,VI,Antique,2008,TY,6,160,988,3,525323,192,148641,47,79,105,83,86,1685,28453,42799,34472,3032,83,14483,1121185075
711,Santi,IV-A,Rizal,2009,TY,5,150,961.9,3,2421173,2047,249000,9,57,100,94,236,2022,75786,422769,15542,3948,2,3561,7718825
1003,Sendong,X,Lanao del Norte,2011,TS,4,75,995.8,2,947759,227,181272,48,74,101,91,108,1063,66112,65025,31643,2515,1651,18819,682725278
629,Ondoy,II,Quirino,2009,TS,4,110,989.5,2,172280,74,181000,16,61,106,88,89,1052,13027,21214,3599,233,0,0,25845000
26,Labuyo,V,Albay,2005,TY,5,95,998.9,1,1158841,450,119539,36,78,104,80,124,1096,24996,119425,59344,19615,1,161,17120000
602,Kiko,CAR,Benguet,2009,TY,7,175,967.6,1,706196,250,219000,25,51,99,90,51,612,11748,168316,1376,688,25,62,39525000
